id,sku,marca,link_anterior,link_oferta,titulo,precio_anterior,precio_en_oferta,categoria
131565,souladr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/629/Anillo-Soul-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=souladr,https://www.0800donrouch.com.ar/detalle/641/Anillo-Soul-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=souladr,Anillo Soul de Roque en Aleación DR,3400,2380,Indumentaria y Calzado
131760,soulplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/630/Anillo-Soul-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=soulplata,https://www.0800donrouch.com.ar/detalle/653/Anillo-Soul-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=soulplata,Anillo Soul de Roque en Plata 925,6400,5440,Indumentaria y Calzado
131761,solitarioadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/561/Anillo-Solitario-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=solitarioadr,https://www.0800donrouch.com.ar/detalle/640/Anillo-Solitario-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=solitarioadr,Anillo Solitario de Roque en Aleación DR,5200,3640,Indumentaria y Calzado
131762,solitarioplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/570/Anillo-Solitario-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=solitarioplata,https://www.0800donrouch.com.ar/detalle/652/Anillo-Solitario-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=solitarioplata,Anillo Solitario de Roque en Plata 925,13400,12060,Indumentaria y Calzado
131763,sanrouchadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/585/Dije-San-Rouch-ADR?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=sanrouchadr,https://www.0800donrouch.com.ar/detalle/671/Dije-San-Rouch-ADR?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=sanrouchadr,Dije San Rouch p/ mascotas en Aleación DR,4200,2940,Indumentaria y Calzado
131764,slimplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/610/Pulsera-Plata-Slim-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=slimplata,https://www.0800donrouch.com.ar/detalle/663/Pulsera-Plata-Slim-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=bomba&utm_term=solitarioadr,Pulsera Slim de Roque en Plata 925,8400,7140,Indumentaria y Calzado
131765,pulseraadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/560/Pulsera-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=pulseraadr,https://www.0800donrouch.com.ar/detalle/642/Pulsera-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=pulseraadr,Pulsera de Roque en Aleación DR,9200,6900,Indumentaria y Calzado
131766,dijeclasicoplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/530/Dije-Clasico-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=dijeclasicoplata,https://www.0800donrouch.com.ar/detalle/665/Dije-Clasico-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=dijeclasicoplata,Dije Clásico de Roque en Plata 925,18400,16560,Indumentaria y Calzado
131767,dijeclasicoadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/551/Dije-Clasico-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=dijeclasicoadr,https://www.0800donrouch.com.ar/detalle/645/Dije-Clasico-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=dijeclasicoadr,Dije Clásico de Roque en Aleación DR,6200,4340,Indumentaria y Calzado
131768,anilloclasicoplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/526/Anillo-Clasico-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=anilloclasicoplata,https://www.0800donrouch.com.ar/detalle/651/Anillo-Clasico-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=anilloclasicoplata,Anillo Clásico de Roque en Plata 925,18400,16560,Indumentaria y Calzado
131769,anilloclasicoadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/548/Anillo-Clasico-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=anilloclasicoadr,https://www.0800donrouch.com.ar/detalle/638/Anillo-Clasico-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=anilloclasicoadr,Anillo Clásico de Roque en Aleación DR,6200,4340,Indumentaria y Calzado
131770,arosplata08,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/563/Aros-Plata-08?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=arosplata08,https://www.0800donrouch.com.ar/detalle/659/Aros-Plata-08?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=arosplata08,Aros 08 de Roque en Plata 925,13400,12060,Indumentaria y Calzado
131771,arit8splata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/608/Arit8s-Plata-?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=arit8splata,https://www.0800donrouch.com.ar/detalle/658/Arit8s-Plata-?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=arit8splata,Arit8s de Roque en Plata 925,5400,4590,Indumentaria y Calzado
131772,alianzaplata,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/533/Alianza-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=alianzaplata,https://www.0800donrouch.com.ar/detalle/650/Alianza-Plata-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=alianzaplata,Alianza de Roque en Plata 925,8400,7140,Indumentaria y Calzado
131773,alianzaadr,0800 Don Rouch,https://www.0800donrouch.com.ar/detalle/555/Alianza-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=alianzaadr,https://www.0800donrouch.com.ar/detalle/637/Alianza-ADR-0800-Don-Rouch?utm_campaign=hotsale&utm_source=cace&utm_medium=oferta&utm_term=alianzaadr,Alianza de Roque en Aleación DR,4200,2940,Indumentaria y Calzado
132479,9205035,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/inicio/738-mouse-gamer-usb-targa-tg-m250-led-7-tec-prog-4800dpi-16mts.html,Mouse Gamer Usb Led 7 Tec Prog 4800dpi 1.6mts TARGA,2299,1799,Electro y Tecno
132481,9205040,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/auriculares/720-auriculares-microfono-targa-tg-ph350-headset-anti-pop.html,Auriculares Headset con Microfono Anti Pop TARGA,2199,1699,Electro y Tecno
132483,9205028,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/smartwatch/755-targa-smartwatch-5-presion-oxygen-pasos-pulso-calorias.html,Smart watch Gris Presión Oxygen Pasos Pulso Calorías TARGA,6099,4599,Electro y Tecno
132501,9205045,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/soportes-notebooks-tablets/742-soporte-notebook-doble-cooler-targa-tg-stand4q-1000rpm-2-usb.html,Soporte Notebook Doble Cooler 1000rpm 2 Usb TARGA,3499,2699,Electro y Tecno
132505,9205023,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/auriculares/746-auriculares-bluetooth-telefunken-ph320-10h-200mah-tws-in-ear.html,Auriculares Bluetooth 10h 200mah Tws In Ear TELEFUNKEN,3599,2699,Electro y Tecno
132508,9676101,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/pavas-electricas/786-pava-jarra-electrica-vidrio-telefunken-pe800-18-lts-2200w.html,Pava Jarra Electrica Vidrio 1.8 Lts 2200 W  TELEFUNKEN,6299,4799,Electro y Tecno
132535,6000752,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/parlantes-portatiles/764-parlante-portatil-bluetooth-telefunken-style-microsd-aux-tws.html,Parlante Portatil Bluetooth Microsd Aux Tws TELEFUNKEN,6399,4799,Electro y Tecno
132536,701477,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/bafles-activos/312-bafle-activo-jbl-eon-615-parlante-15-bi-amplificado-1000w.html,"Bafle Potenciado 1000w Woofer 15"" EQ Bluetooth JBL",117599,88199,Electro y Tecno
132537,708203,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/audio/404-microfono-profesional-akg-d5-dinamico-vocalistas-e-instrumentos.html,Micrófono Dinámico Supercardioide Vocalistas AKG,17299,12999,Electro y Tecno
132551,6000756,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/soundbars/714-barra-de-sonido-parlante-novik-80w-bluetooth-aux.html,Barra De Sonido Parlante 80w Rms Bluetooth Aux NOVIK,12999,9749,Electro y Tecno
132554,6000221,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/microfonos/883-microfono-novik-usb-grabacion-fnk-02u-gamer-youtube.html,Microfono Usb Grabacion Fnk-02u Gamer Youtube NOVIK,7399,5599,Electro y Tecno
132557,6000907,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/mixers-mezcladoras/807-mixer-consola-novik-nvk-i06bt-green-6-canales-usb-rec-play.html,Mixer Consola Green 6 Canales Usb Rec & Play NOVIK,9999,7499,Electro y Tecno
132561,5110193,101dB Argentina,https://101db.com.ar/,https://101db.com.ar/bafles-activos/510-bafle-activo-skp-sk-3p-bluetooth-mp3-usb-parlante-12-potencia-800w.html,Bafle Potenciado 12'' 200w Rms Usb Bluetooth Mp3 SKP,39799,29849,Electro y Tecno
